ID,Which of the following courses have you taken previously? Check all that apply.,In which of the following programming language(s) are you comfortable? Check all that apply.,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?,"Why did you enroll in COGS 108? (It is *totally* ok if your answer is ""it was required"")"
028_wi20,NA,MATLAB,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value",6,5,"It was required, but I really want to be proficient in Python."
030_wi20,COGS 18 w/ Prof Ellis,"Python, Java","GitHub, Python, Jupyter Notebooks, JSON, machine learning",4,8,Im doing cogs for my field of area study in warren
031_wi20,COGS 18 w/ Prof Ellis,"Python, Java","Python, Jupyter Notebooks",3,6,required and for interest
032_wi20,NA,None of these (I'm not comfortable programming),"version control (i.e. git), GitHub, Jupyter Notebooks, A|B testing",4,4,It was required
033_wi20,COGS 18 w/ Prof Ellis,Python,"Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal)",4,5,Required Course
034_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal), sklearn",6,9,Interesting course for my COG SCI area study
035_wi20,NA,Java,"version control (i.e. git), GitHub, p-value, none of the above",6,8,It is known as an easier elective
039_wi20,NA,"Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal), sklearn",6,10,I heard it was easy A.
040_wi20,NA,Java,"version control (i.e. git), GitHub",5,7,Interested in data science
041_wi20,NA,"Java, MATLAB, R","version control (i.e. git), GitHub, Jupyter Notebooks, p-value",8,9,Want to learn some other stuff other than my major requirement
042_wi20,COGS 18 w/ Tom Donoghue,Python,"data science, GitHub, Python, Jupyter Notebooks, machine learning, p-value",6,4,Minor elective (CSS)
043_wi20,COGS 18 w/ Prof Ellis,Python,"data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",7,8,Required/Interest
044_wi20,COGS 18 w/ Prof Ellis,"Python, MATLAB","Python, Jupyter Notebooks",8,6,Interesting in data science also required
048_wi20,NA,MATLAB,none of the above,4,4,Technical Elective for Bioengineering. I am really interested in this class so I petitioned to take it as a technical elective.
049_wi20,NA,"Python, Java","GitHub, Python",5,10,Trying something new.
050_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, R","data science, version control (i.e. git), Python, Jupyter Notebooks, tabular data, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",8,9,As an elective for the data science major
051_wi20,COGS 18 w/ Prof Ellis,"Python, None of these (I'm not comfortable programming)",none of the above,5,5,requirement
052_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, geospatial analysis, pandas (the package, not the animal), sklearn",6,9,To learn more about data science!
053_wi20,"COGS 9 w/ Prof Voytek (or someone else), COGS 18 w/ Prof Ellis",Python,"data science, Jupyter Notebooks",3,5,"I want to get back into coding which I quit for many years because of demotivation from CSE 8A freshman year. This class, being required, forced and gave me the courage to take this class which is going to help me further my skills immensely. It is also taught by Ellis which was the most enticing aspect since I loved her teaching style when I took her last quarter for Cogs 18."
056_wi20,NA,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, JSON",4,8,As a technical elective for my major
057_wi20,NA,Java,GitHub,2,10,"Wanted to learn what data science is all about, it sounds like a really cool topic but I dont know much about it"
059_wi20,NA,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",6,8,For cs major elective.
062_wi20,COGS 18 w/ Prof Ellis,"Python, Java","version control (i.e. git), Python, Jupyter Notebooks, JSON",5,6,Elective
064_wi20,COGS 9 w/ Prof Ellis,"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, pandas (the package, not the animal), sklearn",7,9,I want to learn how to combine ethic with data science
067_wi20,NA,Java,none of the above,6,3,it is required for my major
068_wi20,NA,"Java, MATLAB","data science, version control (i.e. git), GitHub, p-value",6,6,useful skills
069_wi20,COGS 9 w/ Prof Ellis,"Python, Java","data science, Jupyter Notebooks, machine learning, confounding",6,6,NA
070_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",8,10,Elective for my major
073_wi20,COGS 9 w/ Prof Ellis,"Python, Java","data science, GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",7,8,Taking in lieu of DSC upper div
075_wi20,COGS 18 w/ Prof Ellis,Python,"Python, Jupyter Notebooks",6,5,It's a required class and I enjoyed taking cogs 18 with you last quarter and wanted to take another class with you
077_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",8,10,Major Requirement
078_wi20,COGS 9 w/ Prof Ellis,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",8,9,elective
079_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python",5,10,NA
080_wi20,NA,"Python, Java","GitHub, Python, machine learning",5,10,Technical elective
081_wi20,NA,Java,"version control (i.e. git), GitHub, Jupyter Notebooks, JSON",6,8,The course sounded interested and it was an elective I could take for my CS major.
082_wi20,NA,None of these (I'm comfortable in another language),GitHub,5,5,To understand the concept of Data Science
084_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, machine learning",7,9,Elective
085_wi20,COGS 9 w/ Prof Voytek (or someone else),Java,"data science, machine learning, p-value, p-hacking",3,5,Looked fun
086_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, Python, tabular data, machine learning, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",10,10,required
087_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python",3,8,For Cse electives
088_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, JSON, p-value",6,9,I am interested in data science and need elective courses.
089_wi20,NA,"Python, Java, MATLAB, R","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",9,9,DSC Elective
090_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, pandas (the package, not the animal), sklearn, A|B testing",7,8,It is a requirement for my minor.
091_wi20,NA,Python,"data science, Python, Jupyter Notebooks, p-value, A|B testing",7,3,prerequisite to some classes
093_wi20,NA,Java,GitHub,8,8,Elective
094_wi20,COGS 18 w/ Prof Ellis,Python,"GitHub, Python, Jupyter Notebooks, p-value",7,7,Requirement
096_wi20,COGS 18 w/ Tom Donoghue,None of these (I'm not comfortable programming),"Jupyter Notebooks, none of the above",3,2,It was required for my major - Cognitive Neuroscience
097_wi20,NA,Java,"version control (i.e. git), GitHub, JSON, A|B testing",6,10,Major requirement
098_wi20,NA,Java,"version control (i.e. git), GitHub, Python, JSON, machine learning",2,6,Upper-div CS elective/exploring COGS
099_wi20,NA,MATLAB,p-value,3,3,NA
101_wi20,NA,"Python, MATLAB","data science, GitHub, Python, Jupyter Notebooks, machine learning, p-value, pandas (the package, not the animal)",7,7,I'm interested in pursuing machine learning/data science as a career.
104_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, GitHub, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",6,8,it was required
105_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, pandas (the package, not the animal), sklearn, A|B testing",7,7,It was required
106_wi20,NA,Java,"version control (i.e. git), GitHub, Python, JSON, A|B testing",7,10,Interested in data science
107_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, Python, Jupyter Notebooks, tabular data, p-value, pandas (the package, not the animal)",5,9,NA
108_wi20,COGS 18 w/ Prof Ellis,Python,"Python, Jupyter Notebooks, p-value, p-hacking",6,4,It is required
109_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",7,10,Elective
110_wi20,COGS 9 w/ Prof Ellis,"Python, Java","GitHub, Python, Jupyter Notebooks, tabular data, sentiment analysis, pandas (the package, not the animal)",7,9,I am a data science major
111_wi20,NA,Java,none of the above,5,6,it was required
114_wi20,NA,"Java, R","p-value, A|B testing",7,6,It was required
115_wi20,NA,Java,"version control (i.e. git), GitHub",3,5,Major requirement.
116_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks",7,8,Interest. Want to be a data scientist.
117_wi20,COGS 18 w/ Prof Ellis,Python,"version control (i.e. git), Jupyter Notebooks, confounding",6,4,it was required
118_wi20,NA,Java,p-value,7,5,required for minor + curious for data science
119_wi20,COGS 9 w/ Prof Ellis,"Python, Java","data science, Python, Jupyter Notebooks, machine learning, confounding, p-value, p-hacking",7,8,Major requirement
120_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, pandas (the package, not the animal), sklearn",4,7,I want to become a data scientist
122_wi20,COGS 18 w/ Prof Ellis,Python,"Python, Jupyter Notebooks",8,8,to learn about the field
123_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",9,10,"I wanted to take a course in data science with students from a variety of backgrounds. I want to change a scenery a bit, from taking my major courses with all data science students to a data science course with students from majors that may or may not be STEM."
125_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",6,6,I am a data science major! so I want a project based course
129_wi20,COGS 9 w/ Prof Ellis,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, p-hacking, pandas (the package, not the animal), A|B testing",8,9,Wanted an elective to take with friends
130_wi20,NA,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sklearn",5,8,I've heard it's a nice introduction to some data science principles without too much of a workload overall.
131_wi20,COGS 18 w/ Prof Ellis,Python,Jupyter Notebooks,7,6,I wanted to do stuff relevant to my major
134_wi20,NA,"Python, Java","data science, GitHub, Python, Jupyter Notebooks",7,9,I heard it was a fun class and I would like to learn more about data science :)
135_wi20,NA,"Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, p-hacking, A|B testing",7,9,"Required for my major, which I'm interested in"
136_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON",6,9,To use as an elective for CSE major
137_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, R","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, pandas (the package, not the animal), sklearn, A|B testing",8,8,Interesting and upper elective
138_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks",4,10,"It was required, but also because it seemed like statistics and I enjoyed that in high school"
139_wi20,NA,Java,"version control (i.e. git), GitHub",5,7,it was required
140_wi20,NA,"Python, Java, MATLAB, R","GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",8,9,It's required and I'd like to learn about data science applications.
141_wi20,NA,Java,none of the above,3,3,Elective
142_wi20,NA,None of these (I'm not comfortable programming),p-value,4,4,It was required
143_wi20,COGS 9 w/ Prof Voytek (or someone else),Python,"data science, GitHub, Python, Jupyter Notebooks, tabular data, machine learning",5,4,"I took COGS 9 before, thought Data Science was reasonably interesting, and chose a course to finish off my COGS minor."
144_wi20,NA,Java,"GitHub, Python, machine learning",5,10,Needed for minor
146_wi20,NA,"Python, Java","GitHub, Python",4,8,It was required
147_wi20,NA,"Java, MATLAB","version control (i.e. git), tabular data, confounding, p-value",9,8,it looked like a fun class to take for my general ed
148_wi20,NA,Java,none of the above,2,5,cse elective
149_wi20,NA,Java,"version control (i.e. git), GitHub",6,7,Wanted to brush up on my Python Skill
151_wi20,NA,Python,"Python, Jupyter Notebooks",3,5,Major requirement
153_wi20,COGS 18 w/ Tom Donoghue,"Python, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, pandas (the package, not the animal), sklearn",4,10,NA
154_wi20,COGS 9 w/ Prof Voytek (or someone else),Java,GitHub,3,5,cs elective
154_wi20,COGS 9 w/ Prof Voytek (or someone else),Java,"GitHub, Python",5,5,elective
155_wi20,COGS 9 w/ Prof Ellis,"Python, Java","data science, GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, pandas (the package, not the animal), sklearn",8,8,it was required
157_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, p-value, pandas (the package, not the animal), sklearn",8,9,Elective for data science that could give me project experience (I'm looking to have more hands on experiences)
159_wi20,NA,"Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, confounding, p-hacking",6,10,Warren general education area study.
160_wi20,NA,"Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, machine learning, p-value",7,5,"requirement, but also want to get better at python"
161_wi20,NA,Java,"version control (i.e. git), GitHub, none of the above",5,8,Needed elective credits and heard it was a good course
162_wi20,NA,"Python, Java, R","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal), sklearn",8,10,Free A for CS
163_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python",2,8,"CSE Elective, interest in Data Science"
164_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, R","data science, Python, Jupyter Notebooks, tabular data, JSON, sentiment analysis, pandas (the package, not the animal), sklearn",7,8,I was able to take it as a data science upper div elective
165_wi20,NA,"Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, A|B testing",1,10,it was required
169_wi20,NA,"Python, Java, MATLAB","GitHub, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal)",6,5,It was required
170_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, p-value, p-hacking, pandas (the package, not the animal), sklearn, A|B testing",7,10,DSC Major Elective
171_wi20,NA,None of these (I'm not comfortable programming),"data science, version control (i.e. git), GitHub, Python, machine learning",6,6,required
172_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",9,10,I want to try out courses which apply programming skills to solve data-related problems.
173_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal), A|B testing",7,10,CSE Elective
175_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, pandas (the package, not the animal), sklearn, A|B testing",6,8,I wanted to take advantage of a class that could give me time to do a personal project I've been longing to do.
177_wi20,COGS 18 w/ Prof Ellis,Python,"data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",7,8,On my own interest to improve my analytical skills and refresh my knowledge in statistics
180_wi20,NA,"Python, R","Jupyter Notebooks, p-value, none of the above, pandas (the package, not the animal)",4,5,To get a better understanding of coding and data science
181_wi20,NA,"Python, Java, MATLAB","Python, tabular data, p-value, geospatial analysis, tetral analysis, A|B testing",8,8,intereted
181_wi20,NA,"Python, Java, MATLAB","data science, GitHub, Python, machine learning, p-value, A|B testing",8,8,interest
183_wi20,COGS 18 w/ Prof Ellis,"Python, MATLAB","data science, Python, Jupyter Notebooks",4,6,"It was required, but I really like how the Professor teaches"
186_wi20,COGS 18 w/ Prof Ellis,Python,"Python, p-value",6,6,Requirement for major
187_wi20,NA,Python,"GitHub, Python, Jupyter Notebooks",5,9,I wanted to have a basic knowledge of data science as I'm interested in AI/Machine Learning.
190_wi20,COGS 9 w/ Prof Ellis,"Python, Java","data science, GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, pandas (the package, not the animal)",7,7,upper elective
191_wi20,NA,Java,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON",5,9,For an interesting CSE elective
192_wi20,COGS 18 w/ Prof Ellis,Python,"Python, Jupyter Notebooks, p-value",6,5,NA
193_wi20,COGS 9 w/ Prof Ellis,Python,p-value,3,3,major elective
194_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning",7,9,Recommended by many friends
195_wi20,COGS 18 w/ Prof Ellis,"Python, R","data science, GitHub, Python, Jupyter Notebooks, p-value, geospatial analysis, pandas (the package, not the animal)",8,6,"It is not required of my major (Data Analytics B.S.), but I think it will be very useful"
196_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, p-value, pandas (the package, not the animal), sklearn",7,7,NA
197_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, pandas (the package, not the animal)",6,8,For elective credit
198_wi20,NA,None of these (I'm not comfortable programming),"data science, Python, tabular data, machine learning, confounding, p-value, A|B testing",7,4,I want do diversify my skills by developing my data science and visualization skills
199_wi20,COGS 18 w/ Prof Ellis,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning",3,10,Wanted to get more exposure to data science and capabilities of Python.
202_wi20,NA,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, machine learning, pandas (the package, not the animal)",5,8,GE+Interested in DS
203_wi20,NA,Java,p-value,9,6,Want to learn python. Also required
206_wi20,COGS 9 w/ Prof Voytek (or someone else),R,"Python, p-value, p-hacking",8,5,NA
207_wi20,COGS 9 w/ Prof Ellis,Java,"data science, version control (i.e. git), GitHub, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, A|B testing",5,9,NA
208_wi20,NA,"Python, MATLAB","GitHub, Python, Jupyter Notebooks",7,5,It was required
209_wi20,NA,"Python, Java","GitHub, Python",7,9,Technical Elective
211_wi20,COGS 18 w/ Prof Ellis,"Python, Java, MATLAB","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON",3,8,For EE technical electives
212_wi20,COGS 18 w/ Prof Ellis,"Python, Java, MATLAB","GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",7,9,"Wanted to learn data science, but apply it to biology. Eventually, I want to be able to use machine learning for drug discovery"
214_wi20,COGS 18 w/ Prof Ellis,Python,Python,1,1,i'd like to learn more about python because I was really enjoying make something with python
216_wi20,COGS 9 w/ Prof Ellis,"Python, MATLAB","data science, GitHub, Python, Jupyter Notebooks, confounding, p-value, sentiment analysis, pandas (the package, not the animal)",9,6,Requirement
217_wi20,NA,Python,"data science, GitHub, Python, Jupyter Notebooks, machine learning",8,8,dsc elective
218_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",6,9,It can be used as an elective
221_wi20,COGS 18 w/ Prof Ellis,Python,"data science, GitHub, Python, Jupyter Notebooks",2,4,Required for my major
223_wi20,NA,"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal)",7,7,It's a requirement for my major as well as the COGS 118 series.
223_wi20,NA,"Python, Java, MATLAB, R","version control (i.e. git), GitHub, Python, JSON, machine learning, sentiment analysis, pandas (the package, not the animal)",7,7,NA
224_wi20,COGS 18 w/ Prof Ellis,Python,"GitHub, Python, Jupyter Notebooks",4,3,It was required
225_wi20,NA,Java,"data science, version control (i.e. git), GitHub, Python",5,7,Sounded interesting and for a major elective
226_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, p-value, pandas (the package, not the animal), A|B testing",6,8,electives
227_wi20,NA,Java,GitHub,4,6,Wanted to learn something different than cs courses
228_wi20,COGS 18 w/ Prof Ellis,None of these (I'm not comfortable programming),none of the above,2,2,I really don't understand why it's required.
229_wi20,COGS 18 w/ Prof Ellis,Python,"Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",4,3,Enhance Python experience
230_wi20,COGS 18 w/ Tom Donoghue,Python,"GitHub, Python, Jupyter Notebooks, machine learning, p-value, p-hacking, pandas (the package, not the animal)",5,4,I want to know if I want to study machine learning or data science
233_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",8,8,data science elective
235_wi20,COGS 18 w/ Prof Ellis,"Python, Java","GitHub, Python, Jupyter Notebooks, pandas (the package, not the animal)",2,8,to boost my GPA
236_wi20,NA,"Java, MATLAB","GitHub, machine learning",5,4,Required
237_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",6,10,I want to further improve my data science skill
238_wi20,NA,Java,"data science, version control (i.e. git), GitHub, machine learning",6,10,I'm a COGS minor
239_wi20,NA,Java,"version control (i.e. git), GitHub, Jupyter Notebooks",1,10,it was required
242_wi20,NA,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sentiment analysis, pandas (the package, not the animal), sklearn",8,7,I am interested in Machine Learning and just did data mining CSE 158
245_wi20,COGS 9 w/ Prof Ellis,"Python, Java, MATLAB","data science, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",6,7,I am interested in Data Science
246_wi20,NA,None of these (I'm not comfortable programming),none of the above,5,4,it was required
248_wi20,NA,"Python, Java, MATLAB, R","data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, pandas (the package, not the animal), sklearn",6,5,required
249_wi20,COGS 9 w/ Prof Ellis,"Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn",5,7,My friend is taking it.
250_wi20,COGS 9 w/ Prof Voytek (or someone else),"Python, Java, MATLAB, R","data science, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",6,10,Data Science elective
251_wi20,NA,"Java, MATLAB","version control (i.e. git), GitHub, tabular data, JSON, p-value",7,9,I am interviewing for quant trading roles and thought this would be useful.
252_wi20,NA,"Java, R","GitHub, p-value",5,4,It was required and I want to learn more about python.
254_wi20,NA,Java,"version control (i.e. git), GitHub, Python, JSON",1,9,NA
255_wi20,NA,"Python, Java","version control (i.e. git), GitHub, Python, p-value",8,10,I am interested in learning about data science
257_wi20,NA,"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, pandas (the package, not the animal), sklearn, A|B testing",10,10,For fun
258_wi20,NA,Java,"machine learning, p-value",8,8,Pre-Req for Machine learning (cogs 118 series)
259_wi20,NA,"Python, Java, MATLAB, R","GitHub, Python, Jupyter Notebooks, machine learning",7,9,I'm interested in data science as it is getting popular.
