ID,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?,Check all that apply: Which of the following are skills you believe you possess?,A4_t,A5_t,A6_t,project_t
030_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sentiment analysis, pandas (the package, not the animal)",7,8,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",3,2,1,8
031_wi20,"data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, geospatial analysis, pandas (the package, not the animal)",7,8,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations",6,5,5,40
032_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, confounding, geospatial analysis, pandas (the package, not the animal), A|B testing",5,6,"Formulate a plan for and complete a data science project from start to finish, Identify and explain how to approach an unfamiliar data science task",12,12,10,22
033_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, confounding, pandas (the package, not the animal)",5,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",15,15,10,30
034_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",6,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,2,1.5,15
035_wi20,"version control (i.e. git), GitHub, confounding, p-value, sentiment analysis, A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",4,5,5,15
037_wi20,"data science, Python, Jupyter Notebooks, machine learning, p-value, sentiment analysis, pandas (the package, not the animal)",6,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",2,2,3,12
038_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, confounding, pandas (the package, not the animal), A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",10,7,6,13
039_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal), sklearn",6,10,Formulate a plan for and complete a data science project from start to finish,1,1,1,5
040_wi20,"version control (i.e. git), GitHub, JSON",3,9,Communicate results concisely and efficiently in reports and presentations,4,5,4,40
041_wi20,"data science, version control (i.e. git), GitHub, Jupyter Notebooks, tabular data, machine learning, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",8,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",4,3,3,20
042_wi20,"data science, Python, pandas (the package, not the animal)",7,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",4,4,4,8
043_wi20,"data science, GitHub, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, pandas (the package, not the animal), A|B testing",7,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",10,8,7,20
044_wi20,"data science, version control (i.e. git), Python, Jupyter Notebooks, JSON, confounding, sentiment analysis, pandas (the package, not the animal)",9,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,2,40
046_wi20,"GitHub, Python, Jupyter Notebooks, JSON, p-value, pandas (the package, not the animal)",6,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",6,7,5,18
048_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, p-hacking, pandas (the package, not the animal)",6,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,5,4,20
049_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal)",8,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,5,5,20
050_wi20,"data science, GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",9,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,1,1,10
052_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",6,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,20
053_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value, geospatial analysis, pandas (the package, not the animal)",8,9,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",8,6,5,40
056_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",4,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,5,3,15
057_wi20,"GitHub, Python",7,10,"Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",7,9,10,20
059_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning",7,9,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",6,5,4,15
060_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",6,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",1,1,1,20
061_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, pandas (the package, not the animal)",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,6,2,4
064_wi20,"p-value, pandas (the package, not the animal)",10,10,Formulate a plan for and complete a data science project from start to finish,5,5,3,20
065_wi20,"data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",7,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",1,3,3,15
068_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal)",7,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,0,15
069_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, sentiment analysis, pandas (the package, not the animal), sklearn",5,5,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,6
070_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, p-value, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",6,8,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,2,2,5
074_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",7,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,3,1,24
074_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, pandas (the package, not the animal)",9,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,4,2,24
075_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal)",4,5,Communicate results concisely and efficiently in reports and presentations,3,5,5,25
077_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn",8,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,1,1,7
078_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",8,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,2,20
079_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal)",7,9,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,5,5,25
080_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, pandas (the package, not the animal)",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,7,6,8
081_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, sentiment analysis, pandas (the package, not the animal), A|B testing",7,9,Formulate a plan for and complete a data science project from start to finish,10,10,6,15
082_wi20,"data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, confounding, p-value, sentiment analysis, pandas (the package, not the animal)",5,5,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,7,5,24
083_wi20,"data science, Jupyter Notebooks, p-value",6,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,3,20
084_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value, sentiment analysis, pandas (the package, not the animal)",7,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,1,1,21
085_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal)",7,5,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,3,20
086_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",10,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",3,3,3,24
086_wi20,"data science, Jupyter Notebooks, geospatial analysis",10,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",4,4,4,24
087_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, pandas (the package, not the animal)",8,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",3,3,4,10
088_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",7,9,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",4,5,5,8
089_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",9,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,1,1,20
092_wi20,"Python, Jupyter Notebooks, JSON, p-value, pandas (the package, not the animal)",5,5,Identify and explain how to approach an unfamiliar data science task,3,6,5,7
092_wi20,"Python, Jupyter Notebooks",8,3,Communicate results concisely and efficiently in reports and presentations,4,6,5,7
093_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",7,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",6,4,5,22
094_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal)",7,8,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",9,5,2,20
095_wi20,"data science, GitHub, Python, p-hacking, pandas (the package, not the animal), A|B testing",7,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python",3,3,3,30
096_wi20,"data science, GitHub, Python, Jupyter Notebooks",4,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",10,10,10,25
097_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, sentiment analysis, A|B testing",7,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",2,3,2,10
098_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, confounding, p-value, pandas (the package, not the animal)",6,8,Communicate results concisely and efficiently in reports and presentations,8,8,6,20
099_wi20,none of these,5,6,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,5,5,15
100_wi20,"data science, GitHub, Python, Jupyter Notebooks, JSON, geospatial analysis, pandas (the package, not the animal)",7,7,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",5,6,4,15
101_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, pandas (the package, not the animal), sklearn",7,8,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",3,4,3,15
103_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, p-hacking, geospatial analysis, pandas (the package, not the animal)",6,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",4,4,4,24
104_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",6,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,10
105_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, p-value, pandas (the package, not the animal), A|B testing",6,7,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",2,2,2,10
106_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), A|B testing",8,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,1,1.5,6
107_wi20,"data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, pandas (the package, not the animal)",8,9,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,2,2,20
108_wi20,"Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",6,3,None of thse,7,5,7,35
109_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",8,10,"Formulate a plan for and complete a data science project from start to finish, Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",1,2,1,10
110_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",6,10,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Identify and explain how to approach an unfamiliar data science task",3,3,3,20
111_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, pandas (the package, not the animal), sklearn",5,7,"Formulate a plan for and complete a data science project from start to finish, Communicate results concisely and efficiently in reports and presentations, Identify and explain how to approach an unfamiliar data science task",2,3,2,10
114_wi20,"version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, confounding, p-value, pandas (the package, not the animal), A|B testing",8,8,"Explain and carry out a descriptive, exploratory, inferential, and predictive analysis in Python, Communicate results concisely and efficiently in reports and presentations",3,3,3.5,17
115_wi20,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, geospatial analysis, pandas (the package, not the animal)",4,7,"Formulate a plan for and complete a data science project from start to finish, Identify and explain how to approach an unfamiliar data science task",5,5,3,20
117_wi20,"confounding, p-value",6,4,Communicate results concisely and efficiently in reports and presentations,6,5,4,7
